Dates,Bloomberry Resorts Corporation (PSE:BLOOM) - Share Pricing,Aboitiz Power Corporation (PSE:AP) - Share Pricing,Ayala Corporation (PSE:AC) - Share Pricing,"Aboitiz Equity Ventures, Inc. (PSE:AEV) - Share Pricing","Alliance Global Group, Inc. (PSE:AGI) - Share Pricing","Ayala Land, Inc. (PSE:ALI) - Share Pricing","BDO Unibank, Inc. (PSE:BDO) - Share Pricing",Bank of the Philippine Islands (PSE:BPI) - Share Pricing,"DMCI Holdings, Inc. (PSE:DMC) - Share Pricing",First Gen Corporation (PSE:FGEN) - Share Pricing,"Globe Telecom, Inc. (PSE:GLO) - Share Pricing","GT Capital Holdings, Inc. (PSE:GTCAP) - Share Pricing","International Container Terminal Services, Inc. (PSE:ICT) - Share Pricing",Jollibee Foods Corporation (PSE:JFC) - Share Pricing,"JG Summit Holdings, Inc. (PSE:JGS) - Share Pricing","LT Group, Inc. (PSE:LTG) - Share Pricing",Metropolitan Bank & Trust Company (PSE:MBT) - Share Pricing,Megaworld Corporation (PSE:MEG) - Share Pricing,Manila Electric Company (PSE:MER) - Share Pricing,Metro Pacific Investments Corporation (PSE:MPI) - Share Pricing,"Puregold Price Club, Inc. (PSE:PGOLD) - Share Pricing",Robinsons Land Corporation (PSE:RLC) - Share Pricing,"Robinsons Retail Holdings, Inc. (PSE:RRHI) - Share Pricing",Semirara Mining and Power Corporation (PSE:SCC) - Share Pricing,Security Bank Corporation (PSE:SECB) - Share Pricing,SM Investments Corporation (PSE:SM) - Share Pricing,San Miguel Corporation (PSE:SMC) - Share Pricing,"SM Prime Holdings, Inc. (PSE:SMPH) - Share Pricing",PLDT Inc. (PSE:TEL) - Share Pricing,Universal Robina Corporation (PSE:URC) - Share Pricing
Jul-18-2018,9.65,37.00,979.00,53.20,11.82,38.50,130.00,97.00,11.00,15.30,1735.00,897.22,80.50,254.20,53.00,17.40,61.73,4.67,356.00,4.60,46.00,19.78,83.00,31.65,211.60,910.00,136.90,37.00,1365.00,131.80
Jul-19-2018,9.70,36.40,950.00,52.80,11.68,38.50,129.60,96.00,11.16,15.30,1745.00,860.19,79.85,253.00,53.00,17.00,61.50,4.58,358.00,4.44,45.70,19.70,83.00,31.50,211.60,900.00,137.00,36.55,1366.00,132.00
Jul-20-2018,9.43,37.15,960.00,50.80,11.88,38.90,132.00,95.50,11.00,15.46,1730.00,879.63,79.60,250.00,54.00,17.00,61.95,4.60,357.20,4.30,46.40,19.70,83.00,31.55,206.60,890.00,136.80,37.00,1372.00,132.50
Jul-23-2018,9.51,36.35,951.00,51.70,11.66,38.80,130.90,95.30,11.02,15.54,1740.00,888.89,80.50,250.00,53.00,16.92,64.51,4.70,358.00,4.43,45.25,19.40,83.00,31.50,204.00,885.00,137.50,36.50,1344.00,132.00
Jul-24-2018,10.00,36.30,955.50,53.20,11.80,39.10,129.00,96.00,11.26,15.70,1799.00,902.78,82.50,251.00,53.00,16.94,64.60,4.69,370.00,4.51,44.20,19.50,83.00,33.05,202.80,912.00,136.50,37.00,1340.00,131.00
Jul-25-2018,11.06,35.15,964.00,52.20,11.94,40.50,135.00,98.80,11.32,14.80,1780.00,897.69,82.30,251.20,53.00,17.14,65.04,4.80,373.00,4.70,45.60,18.98,81.10,32.50,203.00,933.00,136.50,36.30,1342.00,128.90
Jul-26-2018,10.76,36.60,980.00,54.95,11.88,40.85,137.50,99.50,11.32,15.20,1804.00,912.04,83.35,256.20,54.95,17.62,65.49,4.86,378.80,4.59,45.30,19.62,83.95,31.90,204.00,969.00,136.00,37.50,1361.00,131.00
Jul-27-2018,10.58,37.00,990.00,55.00,11.90,41.35,137.00,101.00,11.70,15.40,1820.00,901.85,83.55,266.00,56.00,17.50,65.49,4.70,378.00,4.54,45.60,19.64,86.00,31.60,206.00,960.00,137.00,38.05,1351.00,131.00
Jul-30-2018,10.54,37.20,1013.00,57.75,12.10,42.20,134.00,99.90,11.72,15.70,1813.00,920.37,88.40,266.00,56.15,18.54,65.49,4.70,380.00,4.69,45.80,20.00,87.00,32.00,205.00,965.00,138.40,38.00,1359.00,136.00
Jul-31-2018,10.48,37.20,999.00,57.35,11.92,40.85,132.00,98.00,11.80,15.52,1835.00,898.15,89.00,270.00,56.00,18.00,65.22,4.64,379.60,4.71,45.25,19.58,85.40,31.70,203.00,950.00,139.20,37.75,1337.00,128.00
Aug-01-2018,10.30,37.95,1015.00,59.70,12.02,41.95,136.80,95.80,12.34,15.60,1873.00,935.19,89.00,279.40,57.30,18.40,64.60,4.70,395.00,4.85,46.00,20.50,87.00,32.30,206.00,990.00,140.00,38.00,1385.00,128.60
Aug-02-2018,10.20,37.80,999.00,59.60,12.00,41.25,135.50,95.80,12.10,15.50,1850.00,924.54,87.00,276.00,55.80,17.72,64.87,4.69,380.00,5.00,46.00,20.40,88.00,32.75,202.00,979.50,139.40,37.90,1354.00,128.00
Aug-03-2018,10.08,38.20,1020.00,61.55,12.00,40.50,136.80,97.00,12.40,15.56,1850.00,924.07,85.50,277.00,57.00,17.82,67.26,4.74,370.00,5.03,46.50,20.40,88.45,32.75,204.00,986.00,139.00,38.00,1380.00,130.00
Aug-06-2018,10.32,37.50,1000.00,60.10,12.04,41.95,135.00,98.50,12.20,15.54,1800.00,906.02,86.85,280.00,58.00,17.80,68.54,4.73,371.20,5.12,47.10,20.00,88.45,32.30,205.00,979.00,136.50,37.70,1355.00,132.40
Aug-07-2018,10.18,37.00,1008.00,58.95,12.00,42.00,129.50,97.00,11.82,15.40,1863.00,900.00,86.00,270.00,56.00,17.60,68.10,4.65,370.00,5.01,46.55,20.60,87.00,32.20,201.20,958.50,138.00,37.90,1320.00,133.80
Aug-08-2018,10.10,37.00,1020.00,60.30,12.26,42.65,130.40,97.20,12.18,15.40,2024.00,902.78,92.15,276.80,58.00,17.30,68.36,4.81,375.00,5.08,46.55,20.10,87.00,32.20,202.40,964.00,139.00,39.00,1350.00,138.00
Aug-09-2018,10.62,36.80,1010.00,59.30,12.42,42.90,129.80,97.00,12.40,15.96,1975.00,898.15,91.00,269.00,58.10,17.72,67.61,4.97,370.00,4.99,46.90,21.00,86.70,31.85,202.60,960.00,138.30,38.50,1347.00,139.50
Aug-10-2018,10.50,36.10,985.00,60.35,12.58,42.60,129.50,96.95,12.38,16.08,1976.00,907.41,88.45,267.00,58.50,17.28,68.32,4.98,368.20,4.98,45.60,21.40,85.45,32.00,200.00,956.00,143.00,38.50,1375.00,140.60
Aug-13-2018,10.46,35.00,953.50,59.55,12.20,41.25,127.70,95.50,11.92,15.96,1920.00,879.63,88.00,270.00,54.50,17.46,67.26,4.90,355.40,4.89,45.00,20.95,84.95,31.90,200.00,933.00,142.00,37.20,1370.00,139.50
Aug-14-2018,10.04,35.65,937.00,57.60,12.38,40.45,127.00,92.40,11.50,15.90,1860.00,883.80,89.50,273.40,53.50,17.52,65.31,4.85,354.40,4.78,44.00,20.50,82.75,31.30,199.00,926.00,142.00,36.35,1364.00,135.20
Aug-15-2018,9.70,35.65,941.00,58.60,12.30,41.10,128.70,93.50,11.70,15.86,1920.00,842.59,89.50,274.00,53.00,17.60,65.75,4.80,358.00,4.73,44.10,20.30,81.45,30.80,201.60,928.00,146.20,35.70,1350.00,134.60
Aug-16-2018,9.50,36.50,936.00,56.35,12.28,41.40,131.20,92.80,11.70,15.80,1970.00,823.15,87.05,266.80,52.85,17.32,65.31,4.94,351.20,4.82,44.00,20.10,81.05,30.00,198.70,930.00,146.00,35.40,1368.00,133.00
Aug-17-2018,9.43,36.50,999.00,56.00,12.40,42.50,128.10,89.50,11.38,15.40,1970.00,828.70,89.95,271.20,53.50,17.50,66.15,4.94,363.00,4.89,44.25,20.30,81.05,30.00,199.00,927.50,147.50,36.00,1395.00,134.00
Aug-20-2018,9.50,36.20,955.00,55.45,12.16,42.20,126.50,90.10,10.98,15.52,1985.00,809.26,90.00,273.00,51.30,17.70,65.13,4.86,350.20,4.82,44.75,20.30,79.50,29.15,198.60,918.00,147.50,36.10,1399.00,132.60
Aug-22-2018,9.35,36.70,975.00,55.95,12.68,43.10,126.50,91.10,11.60,15.50,1997.00,828.70,91.00,286.00,52.00,17.70,64.12,4.89,363.00,4.84,46.10,20.50,81.05,29.70,201.80,936.50,147.30,37.10,1408.00,139.00
Aug-23-2018,9.68,36.90,990.00,57.00,13.42,44.30,127.80,95.80,12.00,15.56,2032.00,828.70,93.15,293.00,55.00,17.62,65.13,4.94,370.00,5.10,46.85,21.00,82.10,29.90,202.00,939.00,160.00,38.50,1445.00,141.00
Aug-24-2018,9.68,36.90,990.00,56.70,13.18,43.90,128.00,92.70,12.02,15.80,1998.00,805.56,92.50,288.00,54.85,17.24,64.16,4.68,366.00,5.02,46.50,20.60,81.95,29.25,199.30,948.00,171.80,38.50,1439.00,143.00
Aug-28-2018,9.12,37.00,991.00,54.00,13.40,44.00,130.80,93.55,12.00,16.06,2068.00,798.15,95.15,290.20,57.95,17.34,65.35,4.72,380.00,5.06,46.00,20.95,80.00,29.20,203.40,970.00,166.10,39.00,1428.00,143.00
Aug-29-2018,9.01,36.50,990.00,52.50,13.40,44.80,129.50,93.00,11.90,17.04,2096.00,788.89,95.00,287.40,59.20,17.44,65.04,4.67,371.20,5.22,46.00,21.00,79.00,28.90,199.90,963.50,171.00,39.00,1415.00,142.00
Aug-30-2018,9.26,36.15,990.00,53.30,13.58,44.70,130.00,94.00,12.20,17.10,2110.00,824.07,94.70,286.00,59.50,17.40,65.62,4.69,374.00,5.50,45.95,21.00,77.95,29.10,199.90,965.00,169.50,38.85,1400.00,140.60
Aug-31-2018,9.55,37.00,1000.00,53.45,13.80,44.50,130.10,93.75,12.80,17.00,2116.00,811.11,93.65,288.00,60.00,17.20,64.82,4.59,373.40,5.45,46.00,21.30,81.60,29.00,194.50,966.00,169.00,39.00,1393.00,139.50
Sep-03-2018,9.30,36.70,978.00,53.80,14.32,43.95,129.80,92.00,12.72,16.80,2100.00,814.81,94.00,282.00,60.00,16.90,64.60,4.59,367.00,5.45,45.80,21.50,82.00,29.55,196.10,970.00,175.00,38.55,1410.00,143.00
Sep-04-2018,9.28,36.90,985.00,53.50,14.70,44.20,129.90,91.90,12.96,16.90,2120.00,837.50,95.00,286.60,60.30,17.04,65.18,4.65,372.00,5.54,45.00,21.55,80.55,30.50,196.00,971.00,179.00,38.70,1430.00,145.00
Sep-05-2018,9.27,36.85,973.00,53.50,14.40,43.40,123.30,90.00,12.88,16.70,2090.00,833.33,94.00,285.00,58.00,17.02,63.89,4.53,371.00,5.33,44.80,21.80,80.05,30.00,195.30,960.00,178.00,37.75,1438.00,142.00
Sep-06-2018,9.30,36.85,944.00,52.75,13.48,43.10,120.30,89.00,12.16,16.08,2078.00,818.52,92.40,276.00,56.30,16.68,62.21,4.43,379.00,5.05,44.80,20.95,82.00,29.50,195.00,959.00,175.20,37.30,1425.00,142.20
Sep-07-2018,9.33,37.00,917.00,53.30,13.36,42.20,120.20,89.20,12.60,16.38,2104.00,806.02,92.85,281.00,57.65,16.98,61.50,4.40,380.00,5.27,44.45,20.75,80.80,29.00,191.50,938.00,177.00,36.65,1424.00,144.90
Sep-10-2018,9.24,36.25,914.00,52.50,13.14,42.00,119.30,87.65,12.68,16.18,2104.00,823.15,92.00,278.40,57.35,16.54,61.95,4.35,379.00,5.35,45.00,21.35,79.60,29.50,190.10,950.00,175.90,36.50,1404.00,153.00
Sep-11-2018,8.99,36.60,895.50,51.00,12.84,41.85,118.00,86.90,12.20,16.16,2120.00,805.56,92.00,276.00,54.60,16.26,61.06,4.30,380.00,5.15,45.00,20.95,80.95,29.10,193.00,950.00,174.00,36.50,1392.00,149.00
Sep-12-2018,9.00,37.00,920.00,47.60,12.74,41.75,114.00,85.85,12.18,16.34,2180.00,797.69,90.05,269.00,51.60,16.56,61.95,4.33,385.00,5.10,45.00,20.50,80.00,29.30,189.90,942.00,175.00,36.50,1428.00,140.00
Sep-13-2018,9.20,36.90,900.00,49.00,12.76,42.00,117.00,86.10,12.30,16.42,2200.00,787.04,93.50,277.00,54.15,16.20,60.71,4.21,382.00,5.23,44.90,20.95,80.00,29.25,189.60,948.00,172.40,37.50,1430.00,143.70
Sep-14-2018,8.92,36.75,898.00,48.30,12.70,41.00,117.00,86.00,12.38,16.66,2192.00,754.63,94.20,269.00,52.00,15.94,60.71,4.38,368.00,5.28,45.00,20.90,78.80,29.00,182.00,935.00,169.80,36.40,1415.00,141.30
Sep-17-2018,8.50,37.00,905.50,47.00,12.44,41.60,115.00,85.65,12.20,16.72,2220.00,761.11,93.90,275.00,52.30,15.66,60.97,4.26,369.00,5.29,45.00,20.50,80.50,28.60,176.00,922.00,170.00,37.00,1410.00,145.30
Sep-18-2018,8.12,35.90,905.00,46.30,12.36,40.50,112.00,82.10,12.66,17.10,2222.00,757.41,93.50,272.00,52.30,15.68,58.41,4.13,365.60,5.18,44.25,19.96,82.00,27.90,175.00,891.00,167.20,36.50,1410.00,143.00
Sep-19-2018,8.05,35.45,886.00,45.95,12.34,40.00,112.00,79.50,12.18,16.98,2162.00,759.26,92.70,264.00,52.10,15.84,57.43,3.98,361.00,5.00,45.00,19.90,80.00,27.00,169.00,890.00,169.00,36.95,1400.00,144.10
Sep-20-2018,8.10,35.40,885.00,44.10,12.10,39.80,112.10,80.00,11.92,16.82,2120.00,743.52,90.00,271.00,53.00,15.24,56.64,4.17,351.00,5.00,44.80,19.50,79.00,26.60,169.00,862.00,167.10,36.00,1370.00,142.50
Sep-21-2018,7.98,36.60,898.00,46.90,13.00,41.75,120.60,83.90,12.14,17.00,2170.00,775.93,92.95,272.00,54.00,15.00,60.18,4.42,365.00,4.92,44.80,18.78,79.00,27.15,168.50,892.00,168.00,37.00,1438.00,151.00
Sep-24-2018,8.29,36.60,920.00,50.40,12.64,40.90,121.00,88.20,11.88,17.00,2210.00,787.96,92.90,271.00,54.40,15.20,61.86,4.40,360.00,4.90,45.85,19.54,79.10,27.65,168.90,890.00,169.80,37.00,1438.00,151.00
Sep-25-2018,8.90,36.20,919.50,51.25,12.74,39.85,119.00,85.00,11.94,16.82,2180.00,787.04,91.50,268.80,55.80,15.16,60.62,4.40,358.00,4.92,44.00,19.42,78.60,27.45,168.80,866.00,169.70,35.70,1412.00,151.00
Sep-26-2018,8.70,35.00,940.00,50.00,12.60,40.45,114.00,81.05,11.98,16.88,2066.00,745.37,91.50,266.20,55.20,15.14,59.69,4.40,348.00,4.65,45.70,19.62,79.40,26.95,156.00,873.50,169.00,36.85,1365.00,147.20
Sep-27-2018,8.76,35.00,950.00,49.95,12.40,41.30,115.70,79.75,11.40,16.76,2200.00,751.85,94.00,259.00,55.50,15.00,59.65,4.43,346.00,4.78,45.70,20.30,82.00,27.00,155.30,899.00,169.50,37.25,1300.00,147.40
Sep-28-2018,8.77,33.45,928.00,49.00,12.48,40.05,119.80,83.30,11.38,16.76,2200.00,759.26,94.10,257.00,53.95,14.40,59.29,4.40,340.00,4.75,45.00,20.30,79.70,26.70,154.00,904.00,169.50,36.15,1350.00,144.50
Oct-01-2018,8.35,33.60,910.00,48.25,12.46,40.60,120.00,83.50,11.80,16.00,2208.00,738.89,92.00,252.00,53.65,15.00,59.65,4.38,331.80,4.73,44.50,20.25,80.00,26.00,150.00,880.00,171.00,35.65,1412.00,139.50
Oct-02-2018,8.20,33.95,925.00,47.90,12.14,39.30,119.50,82.35,11.80,16.50,2200.00,740.74,94.15,250.00,51.50,14.62,60.09,4.16,342.00,4.69,43.15,20.00,81.80,24.50,146.20,875.00,170.00,33.85,1399.00,136.00
Oct-03-2018,8.48,34.35,940.00,48.00,12.24,40.50,120.00,81.10,12.12,16.44,2210.00,740.74,95.00,252.00,53.55,14.86,61.06,4.15,358.80,4.80,44.00,20.30,79.00,24.70,149.90,875.00,168.90,34.50,1400.00,136.50
Oct-04-2018,8.16,34.30,919.50,47.70,12.02,38.60,117.00,80.50,11.80,16.02,2220.00,725.46,94.15,252.00,50.80,14.72,58.41,4.10,355.00,4.85,44.90,19.68,79.00,25.00,144.80,875.00,169.40,34.10,1394.00,134.00
Oct-05-2018,8.12,33.60,935.00,47.10,11.78,39.00,115.20,81.00,11.72,16.28,2270.00,707.41,95.45,247.00,49.05,14.34,58.58,4.15,356.00,4.76,44.00,19.80,78.00,25.10,144.80,870.00,172.90,34.30,1390.00,133.50
Oct-08-2018,8.35,33.00,930.00,46.95,11.76,39.00,114.00,81.90,12.04,16.30,2330.00,685.19,94.00,243.00,48.50,13.90,58.58,4.15,341.60,4.95,42.20,19.90,77.00,25.50,144.80,866.00,170.00,34.00,1415.00,134.50
Oct-09-2018,8.37,34.00,910.00,46.00,11.88,39.70,113.00,82.10,12.20,16.00,2210.00,670.37,94.80,252.40,48.50,13.56,58.76,4.15,343.00,5.00,41.45,20.20,78.00,24.70,139.80,880.00,168.00,34.40,1406.00,133.00
Oct-10-2018,8.25,32.60,900.00,45.70,11.70,39.50,110.00,81.90,12.06,15.86,2168.00,657.41,95.00,254.00,47.00,13.06,59.16,4.15,357.20,5.06,42.00,20.70,78.00,24.65,135.70,879.00,167.00,34.00,1386.00,129.00
Oct-11-2018,8.01,33.50,882.00,46.55,11.48,38.50,108.90,81.90,12.18,15.68,2148.00,621.30,93.00,254.00,45.40,12.86,57.83,4.08,357.00,4.97,40.50,19.10,75.00,25.00,133.20,850.50,165.00,33.70,1364.00,128.00
Oct-12-2018,8.40,34.00,900.00,46.05,11.72,39.30,110.00,81.20,12.00,15.60,2100.00,648.15,93.05,262.00,45.50,13.42,58.41,4.13,351.80,4.94,43.00,19.90,80.00,26.00,140.90,871.50,167.00,34.20,1400.00,137.00
Oct-15-2018,8.69,33.60,894.50,45.60,11.62,39.20,109.90,80.95,11.84,15.76,2010.00,657.41,93.00,250.00,46.95,13.34,57.96,4.20,348.00,4.82,42.00,19.96,77.00,26.00,143.10,850.00,166.00,33.70,1368.00,132.30
Oct-16-2018,8.50,34.50,900.50,45.65,11.68,40.20,112.00,81.00,12.00,15.22,2020.00,658.33,93.50,254.20,47.00,13.20,58.05,4.41,359.00,4.84,41.00,20.25,75.90,26.10,146.00,850.00,163.30,33.50,1400.00,137.50
Oct-17-2018,8.65,34.50,915.00,45.40,11.72,40.80,116.10,82.95,12.00,15.32,2060.00,667.59,94.00,258.60,48.50,13.10,59.51,4.47,359.20,4.98,40.95,20.50,76.10,27.05,152.00,850.00,164.10,34.00,1400.00,148.00
Oct-18-2018,8.70,34.80,906.00,47.00,11.94,40.60,118.40,82.00,12.50,15.98,2000.00,685.19,95.00,260.00,48.10,13.16,59.29,4.37,352.60,5.02,40.20,20.85,76.00,27.90,152.00,868.00,165.00,34.45,1420.00,146.50
Oct-19-2018,8.74,35.15,910.00,47.80,11.90,40.90,119.80,82.95,12.34,15.90,1915.00,674.54,95.00,265.00,48.00,13.28,58.45,4.40,346.80,4.95,40.40,21.45,76.50,29.50,152.50,865.00,158.00,34.50,1430.00,145.90
Oct-22-2018,8.80,34.70,928.50,47.70,12.10,41.15,122.90,83.35,12.10,15.98,1998.00,717.59,93.20,272.00,48.75,13.50,61.06,4.50,351.80,5.05,41.95,20.70,78.90,28.60,152.60,878.00,156.00,34.90,1411.00,145.70
Oct-23-2018,8.50,34.50,917.50,48.35,11.90,40.60,122.70,83.00,12.20,16.20,2030.00,731.48,92.65,268.00,48.60,13.76,60.22,4.45,351.00,4.95,42.00,21.00,78.00,28.80,151.60,888.00,158.00,34.00,1376.00,144.00
Oct-24-2018,8.18,33.65,910.00,47.10,11.70,39.10,119.30,82.60,12.16,16.18,2048.00,726.85,93.00,264.20,48.40,14.68,58.85,4.40,353.00,4.81,41.15,20.80,79.00,28.25,145.00,883.50,157.00,34.70,1396.00,140.00
Oct-25-2018,8.00,33.00,890.00,45.70,11.50,38.00,115.00,81.35,12.08,16.00,2050.00,726.85,90.20,262.00,47.40,14.64,57.79,4.30,352.00,4.77,41.90,20.50,78.00,27.20,137.50,860.00,159.80,33.70,1380.00,130.00
Oct-26-2018,8.11,32.50,920.00,45.15,11.50,38.75,116.00,81.00,11.98,16.12,2050.00,726.85,90.00,270.00,47.50,14.64,57.08,4.41,360.40,4.77,42.00,20.95,78.00,26.60,139.60,895.00,164.50,34.50,1381.00,130.00
Oct-29-2018,8.16,32.35,915.00,46.10,11.60,38.70,118.30,81.95,12.40,15.96,2052.00,720.83,91.00,270.00,48.45,14.60,57.52,4.40,360.00,4.80,41.60,20.10,78.50,27.20,142.00,900.00,168.10,34.40,1400.00,133.80
Oct-30-2018,8.09,32.20,900.00,44.85,11.32,38.30,123.00,79.50,11.90,15.78,2050.00,699.07,91.00,264.00,47.15,14.54,57.08,4.35,354.00,4.80,40.75,19.70,78.00,27.80,143.00,884.00,168.00,33.75,1355.00,130.00
Oct-31-2018,8.40,33.70,920.00,47.00,11.36,39.65,122.40,82.15,12.84,15.62,2090.00,703.70,90.50,276.00,47.30,14.50,58.01,4.41,367.80,4.80,40.55,20.95,75.80,27.95,144.40,900.00,171.00,33.80,1390.00,130.00
Nov-05-2018,8.30,34.30,935.00,46.80,11.80,40.00,122.20,82.00,12.80,15.74,2100.00,702.78,93.80,280.00,48.60,14.80,58.94,4.44,367.60,4.90,41.90,21.30,76.00,28.95,146.10,910.00,168.00,33.65,1419.00,133.90
Nov-06-2018,8.20,34.00,940.00,47.40,11.64,38.00,121.60,82.65,13.04,16.20,2108.00,701.85,91.40,278.60,48.90,15.10,58.63,4.47,365.20,4.90,41.80,21.20,77.00,29.00,145.90,920.00,167.90,33.00,1400.00,134.00
Nov-07-2018,8.11,33.20,920.00,46.40,11.42,38.00,119.00,82.60,12.90,16.38,1920.00,653.70,92.00,280.00,48.10,14.80,57.52,4.40,363.00,4.86,42.20,21.00,75.00,28.90,144.30,880.00,163.60,32.70,1321.00,130.70
Nov-08-2018,8.06,32.70,902.50,46.50,11.44,38.50,119.00,82.80,12.64,16.60,1823.00,660.19,92.25,280.00,48.30,15.16,58.01,4.49,377.20,4.72,43.00,21.35,76.90,26.00,143.00,884.00,170.00,32.75,1284.00,130.40
Nov-09-2018,8.12,32.50,902.00,47.00,11.12,38.00,118.00,80.00,12.50,16.40,1728.00,674.07,92.15,278.00,46.45,15.10,57.57,4.50,380.80,4.75,43.00,20.35,76.80,25.50,145.00,888.00,171.50,32.70,1220.00,125.00
Nov-12-2018,7.90,32.00,900.00,45.00,10.60,38.60,116.00,80.00,12.46,16.64,1754.00,668.52,92.00,274.00,45.00,15.12,57.96,4.45,380.00,4.55,42.75,20.20,76.00,26.10,142.00,889.50,174.60,32.55,1202.00,123.00
Nov-13-2018,7.65,31.20,895.00,45.35,10.50,38.50,113.90,79.80,12.24,16.40,1830.00,662.04,92.90,272.80,41.90,15.30,57.35,4.50,378.60,4.33,42.00,19.50,76.50,26.05,138.00,878.00,172.50,31.80,1180.00,121.80
